City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,isafjordur,66.0755,-23.124,0.02,93,0,1.03,IS,1698231932
1,blackmans bay,-43.0167,147.3167,7.07,76,45,1.34,AU,1698231934
2,port lincoln,-34.7333,135.8667,11.24,51,14,8.6,AU,1698231934
3,bilibino,68.0546,166.4372,-16.93,99,33,2.02,RU,1698231935
4,new norfolk,-42.7826,147.0587,7.72,82,58,3.49,AU,1698231935
5,abatskoye,56.2875,70.4555,1.99,99,100,1.67,RU,1698231935
6,nili,33.7218,66.1302,17.83,17,53,1.43,AF,1698231936
7,margaret river,-33.95,115.0667,17.26,69,42,3.36,AU,1698231601
8,chonchi,-42.6128,-73.8092,5.07,89,30,0.87,CL,1698231937
9,hawaiian paradise park,19.5933,-154.9731,23.91,95,100,1.54,US,1698231937
10,ghanzi,-21.5667,21.7833,37.2,5,0,3.81,BW,1698231652
11,puerto natales,-51.7236,-72.4875,12.25,50,75,14.92,CL,1698231938
12,ahiri,19.4,80.0167,27.71,59,7,2.23,IN,1698231939
13,westport,41.1415,-73.3579,12.08,90,0,1.54,US,1698231939
14,kone,-21.0595,164.8658,22.25,85,98,2.23,NC,1698231939
15,waitangi,-43.9535,-176.5597,11.57,96,91,2.24,NZ,1698231939
16,kristiansund,63.1115,7.732,9.36,61,0,3.09,NO,1698231940
17,papatowai,-46.5619,169.4708,15.82,57,97,4.5,NZ,1698231940
18,albany,42.6001,-73.9662,11.0,83,14,0.89,US,1698231941
19,west island,-12.1568,96.8225,27.99,78,40,5.66,CC,1698231803
20,ivdel',60.6911,60.4206,-0.45,47,31,4.02,RU,1698231941
21,saldanha,-33.0117,17.9442,17.48,64,10,6.51,ZA,1698231942
22,iskateley,67.6803,53.1512,-0.55,96,100,6.71,RU,1698231942
23,laojunmiao,39.8333,97.7333,9.1,29,3,1.75,CN,1698231942
24,udachny,66.4167,112.4,-11.13,89,54,4.58,RU,1698231943
